0.29881,0.31121,0.34784,0.29267,0.18368,0.34682,0.18309,0.2962,0.8099,0.45202,0.39475,0.43899,0.24588,0.36671,0.40146,0.38126,0.28407,0.23975,0.31607,0.42517,0.25802,0.65825,0.8308,0.25617,0.44459,0.36502,0.25618,0.49602,0.45847,0.31403
0.30299,0.19237,1.486,0.41998,0.47499,0.20778,0.33949,0.25054,0.29924,0.34448,1.4922,0.63677,0.45652,0.45663,0.17546,0.29995,0.30244,0.47391,0.2994,0.49951,0.56597,0.52424,0.26965,0.37342,0.5935,0.4184,0.3872,0.24081,0.28673,0.51709
0.27625,0.2504,1.4137,0.5376,0.57643,0.23149,0.6498,0.37238,0.28258,0.42036,2.3324,0.96077,0.21096,0.34413,0.40354,0.22937,0.29306,0.44576,0.5627,0.41542,0.51774,0.55853,0.20629,0.50387,0.89158,0.68141,0.46507,0.36633,0.25321,0.5551
0.75824,0.17198,3.3652,0.51938,1.0204,0.45767,1.0195,0.80381,0.33327,0.77062,3.8523,2.024,0.35922,0.66824,0.63907,0.36641,0.37323,0.85429,0.75002,0.78979,0.53319,0.79637,0.45054,0.84174,1.3309,0.84739,0.60688,0.50271,0.34148,0.45361
0.54477,0.295,3.5925,0.71263,0.83255,0.55656,1.0249,0.71632,0.41996,0.50787,1.6971,0.80927,0.35771,0.72728,0.53392,0.68363,0.51447,0.95296,0.9857,0.81222,0.76453,1.6032,0.28902,0.72429,1.0668,0.56127,0.25382,0.7444,0.47975,0.939
0.76655,0.57751,4.705,0.59488,1.1611,0.75651,1.395,1.1548,0.40899,0.65245,3.1175,1.0136,0.4612,1.0236,0.75589,0.95607,0.59546,1.0018,1.1263,0.89236,0.66447,1.8671,0.58896,0.78335,0.95028,0.72427,0.24179,1.1336,0.54184,1.5854
0.57367,0.4242,3.4365,0.35038,0.72264,0.42188,0.99089,1.0243,0.2678,0.51458,2.0256,0.97334,0.43614,0.9404,0.89376,0.57195,0.31826,0.78048,1.096,0.66841,0.38223,1.6037,0.60702,0.39062,0.68625,0.64483,0.24274,0.62324,0.47997,1.279
1.9336,0.57566,3.1158,0.35756,1.3115,1.0514,0.44825,1.1245,0.60646,0.97877,6.799,4.9222,0.40715,0.52941,1.6146,1.0514,0.22611,1.3034,0.7431,0.86118,0.7172,1.0193,0.37168,0.80952,1.9289,2.4227,0.18771,0.66728,0.31828,0.39168
2.1364,0.53848,4.5633,0.39955,1.3598,1.2826,0.50128,2.053,0.68991,0.69543,5.6624,5.5256,0.28584,0.34586,0.63864,0.52596,0.18605,1.6736,1.2659,0.83418,1.2583,1.513,0.36709,0.84857,2.6637,2.8884,0.1507,0.6967,0.26173,0.2606
1.7122,0.75363,3.1944,0.28503,2.4957,2.0069,0.65617,1.8562,0.56428,0.72852,7.6553,9.3626,0.326,0.35122,0.61639,0.53621,0.14626,1.7344,1.4331,0.35339,1.1178,1.4949,0.77157,1.0659,2.057,2.197,0.15719,1.043,0.24758,0.48742
